service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ASP23GEN-6089-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
ASP23GEN-7063-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-A085-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-B084-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-C055-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-D079-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-E074-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-F076-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-FS011-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-G053-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-G053-Weekday-00-0111100,0,1,1,1,1,0,0,20230703,20231215
ASP23GEN-GS022-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-H041-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-H041-Weekday-00-0111100,0,1,1,1,1,0,0,20230703,20231215
BSP23GEN-J052-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-L049-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-M089-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-M089-Weekday-00-0111100,0,1,1,1,1,0,0,20230703,20231215
BSP23GEN-N097-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-Q069-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
BSP23GEN-R092-Weekday-00,1,1,1,1,1,0,0,20230703,20231215
SIR-FA2017-SI017-Weekday-08,1,1,1,1,1,0,0,20230703,20231215
ASP23GEN-1038-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
ASP23GEN-2042-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
ASP23GEN-3039-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
ASP23GEN-4043-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
ASP23GEN-5043-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
ASP23GEN-6033-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
ASP23GEN-7023-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-A046-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-C026-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-D039-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-E042-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-F044-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-FS011-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-G037-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
ASP23GEN-GS013-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-H026-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-J033-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-L026-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-M028-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-N056-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-Q021-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
BSP23GEN-R051-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
SIR-FA2017-SI017-Saturday-00,0,0,0,0,0,1,0,20230704,20231216
