"Unique ID","Latitude","Longitude"
"386","40.581011","-73.974574"
"387","40.898379","-73.854376"
"390","40.658733000000005","-73.899232"
"391","40.639967","-73.948411"
"392","40.635082000000004","-73.962793"
"393","40.752885","-73.906006"
"394","40.874811","-73.878855"
"395","40.68141","-73.880039"
"401","40.674772","-73.957624"
"402","40.833226","-73.860816"
"403","40.655291999999996","-73.961495"
"406","40.857192","-73.867615"
"407","40.858985","-73.85535899999999"
"412","40.819585","-73.90177"
"414","40.748973","-73.93724300000001"
"416","40.678822","-73.92078599999999"
"420","40.678340000000006","-73.911946"
"421","40.680429","-73.843853"
"422","40.580903","-73.835592"
"425","40.702762","-73.90774"
"426","40.586896","-73.954155"
"427","40.67413","-73.88075"
"428","40.824073","-73.893064"
"430","40.702068","-74.013664"
"436","40.705459999999995","-73.81070799999999"
"438","40.669367","-73.901975"
"444","40.85041","-73.905227"
"446","40.679364","-73.930729"
"449","40.678024","-73.891688"
"450","40.672709999999995","-73.89035799999999"
"452","40.732338","-74.000495"
"454","40.903125","-73.85061999999999"
"456","40.707557","-74.011862"
"457","40.840295000000005","-73.880049"
"459","40.703087","-74.01299399999999"
"462","40.656652","-73.9502"
"464","40.733106","-73.869229"
"466","40.74563","-73.902984"
"467","40.701397","-73.986751"
"468","40.836488","-73.847036"
"0","40.730953","-73.981628"
"4","40.749865","-73.8627"
"5","40.695178000000006","-73.84433"
"6","40.681711","-73.837683"
"7","40.79502","-73.94425"
"8","40.697418","-73.836345"
"9","40.75173","-73.855334"
"15","40.815581","-73.958372"
"16","40.811109","-73.952343"
"18","40.807753999999996","-73.945495"
"20","40.814229","-73.94077"
"23","40.813224","-73.929849"
"24","40.737826","-74.000201"
"25","40.738228","-73.996209"
"31","40.824783000000004","-73.944216"
"32","40.826551","-73.95036"
"33","40.820421","-73.936245"
"34","40.8183925","-73.9270345"
"39","40.833771","-73.91844"
"40","40.835537","-73.9214"
"41","40.840719","-73.939561"
"42","40.840719","-73.939561"
"43","40.840556","-73.94013299999999"
"44","40.71047","-73.793604"
"45","40.840075","-73.91779100000001"
"48","40.8459","-73.910136"
"49","40.847390999999995","-73.939704"
"50","40.84848","-73.911794"
"51","40.629754999999996","-73.97697099999999"
"52","40.607954","-74.001736"
"54","40.741040000000005","-73.99787099999999"
"56","40.849505","-73.933596"
"57","40.856093","-73.900741"
"58","40.858407","-73.903879"
"59","40.859021999999996","-73.93418"
"60","40.855225","-73.929412"
"61","40.723402","-73.989938"
"62","40.604556","-73.998168"
"64","40.864621","-73.91882199999999"
"66","40.754203000000004","-73.942836"
"67","40.869444","-73.915279"
"70","40.741303","-73.98934399999999"
"71","40.745906","-73.998041"
"74","40.742878000000005","-73.99282099999999"
"75","40.742878000000005","-73.99282099999999"
"76","40.878856","-73.904834"
"80","40.660396999999996","-73.998091"
"81","40.660396999999996","-73.998091"
"82","40.745494","-73.988691"
"85","40.732849","-73.986122"
"87","40.816109000000004","-73.917757"
"88","40.766779","-73.921479"
"90","40.744587","-73.93099699999999"
"91","40.755882","-74.00191"
"92","40.749719","-73.98782299999999"
"93","40.749567","-73.98795"
"94","40.749567","-73.98795"
"95","40.752287","-73.993391"
"96","40.752287","-73.993391"
"97","40.750372999999996","-73.991057"
"98","40.756803999999995","-73.929575"
"101","40.752882","-73.932755"
"102","40.670272","-73.989779"
"103","40.743781","-73.92401600000001"
"104","40.754222","-73.984569"
"106","40.757308","-73.989735"
"107","40.648939","-74.010006"
"108","40.743132","-73.918435"
"110","40.758663","-73.981329"
"111","40.759901","-73.984139"
"112","40.753821","-73.98196300000001"
"115","40.764811","-73.973347"
"116","40.761728000000005","-73.98384899999999"
"117","40.762456","-73.985984"
"118","40.63626","-73.994791"
"119","40.757107","-73.97192"
"121","40.645069","-74.014034"
"122","40.631434999999996","-73.995476"
"124","40.764664","-73.98065799999999"
"125","40.762526","-73.967967"
"126","40.762526","-73.967967"
"127","40.641362","-74.017881"
"128","40.768296","-73.981736"
"129","40.768296","-73.981736"
"130","40.768246999999995","-73.98192900000001"
"131","40.737334999999995","-73.996786"
"133","40.729846","-73.861604"
"136","40.726523","-73.852719"
"141","40.619589000000005","-73.998864"
"142","40.775594","-73.97641"
"145","40.746848","-73.89139399999999"
"146","40.718331","-73.837324"
"147","40.691324","-73.867139"
"149","40.629742","-74.02551"
"151","40.613501","-74.00061"
"154","40.730328","-73.99262900000001"
"157","40.747659000000006","-73.883697"
"158","40.692434999999996","-73.86001"
"160","40.779492","-73.955589"
"161","40.785868","-73.96891600000001"
"162","40.622687","-74.028398"
"167","40.670846999999995","-73.988302"
"168","40.748408000000005","-73.876613"
"171","40.791641999999996","-73.96469599999999"
"176","40.672096999999994","-73.83591899999999"
"178","40.775036","-73.91203399999999"
"179","40.770258","-73.917843"
"180","40.675345","-73.903097"
"181","40.684062999999995","-73.97784999999999"
"182","40.684359","-73.977666"
"183","40.62927","-73.961639"
"185","40.625039","-73.960803"
"186","40.617618","-73.959399"
"196","40.616622","-74.030876"
"197","40.634966999999996","-74.023377"
"200","40.600066","-73.761353"
"201","40.595397999999996","-73.768175"
"202","40.592943","-73.776013"
"203","40.592374","-73.788522"
"204","40.590927","-73.796924"
"207","40.689627","-73.95352199999999"
"208","40.717304","-73.956872"
"210","40.873412","-73.890064"
"211","40.680828999999996","-73.975098"
"213","40.644031","-73.964492"
"214","40.645098","-73.948959"
"215","40.725915","-73.994659"
"216","40.6928115","-73.99007449999999"
"217","40.6928115","-73.99007449999999"
"219","40.720279999999995","-73.993915"
"220","40.704817","-74.014065"
"221","40.704817","-74.014065"
"222","40.709179","-73.820574"
"223","40.577621","-73.961376"
"226","40.76182","-73.925508"
"228","40.678334","-73.905316"
"232","40.713065","-74.004131"
"233","40.713065","-74.004131"
"236","40.853453","-73.907684"
"237","40.682829","-73.905249"
"238","40.718667333333336","-74.00070899999999"
"239","40.718667333333336","-74.00070899999999"
"240","40.720824","-74.005229"
"245","40.680303","-73.995048"
"246","40.834255","-73.85122199999999"
"250","40.799075","-73.95182199999999"
"251","40.7133465","-74.00918300000001"
"252","40.7133465","-74.00918300000001"
"253","40.715478000000004","-74.009266"
"254","40.713243","-74.003401"
"255","40.713243","-74.003401"
"257","40.733422","-74.00290600000001"
"258","40.650527000000004","-73.962982"
"260","40.644040999999994","-73.979678"
"261","40.697466","-73.993086"
"262","40.688873","-73.96007"
"264","40.683263000000004","-73.965838"
"267","40.640927000000005","-73.963891"
"269","40.747023","-73.945264"
"270","40.7472","-73.944916"
"271","40.6941","-73.991777"
"273","40.668896999999994","-73.93294200000001"
"275","40.689941","-73.87255"
"276","40.690635","-73.981824"
